---Model---
date, tmin, tmax
2010-07-05,294.1571152193348,310.7330276525229
2010-07-06,294.2219298003617,312.27660242553986
2010-07-08,293.5818247942917,311.4546307558798
2010-07-09,294.671581959317,308.52883112909376
2010-08-04,296.536500822957,306.96361900458703
2010-09-01,294.9628183032379,307.00901885642685
2010-09-02,295.4142408027881,306.65508643842435
2011-07-03,296.47684089633276,309.6285676779519
2011-07-04,296.2344869191721,309.0428283461264
2011-07-05,293.92965971550865,307.28532082818595
2011-07-11,294.32125864399967,307.64704413813485
2011-07-12,295.7996373261616,306.8068819342378
2011-07-18,293.3675299064596,306.27349679518915
2012-07-14,293.3643109447095,308.2612854120819
2012-07-15,294.6492133101955,308.6657505198054
2012-07-16,295.04047393100427,308.2282064661381
2012-07-17,295.386754825386,308.2808104703248
2012-07-18,293.6247614261107,307.11115157221536
2013-07-16,293.2873189512763,306.3008951480591
2013-08-20,293.3764285481508,306.3227336850871
2015-08-16,293.41289934684664,307.03213131049915
2015-08-17,294.3685162089123,308.52047431672975
2015-08-18,295.0470656954102,309.0970289418767
2015-08-19,294.6408354032076,308.1279799330295
2015-08-20,294.9668120225115,306.25677809530805
2016-07-14,294.22101240259036,307.13602630073325
2016-08-12,293.7553678393424,308.0593668359545
2018-07-01,293.9210405217807,308.71925709865616
2018-07-02,295.8082732711547,312.04585360369833
2018-07-03,297.26789518735893,311.63720001279364
2018-07-04,296.5995850407678,310.86727515581015
2018-07-05,294.2614503693873,310.03259104445834
2018-07-15,294.1399628445812,308.44988507756767
2018-07-16,295.34347543647954,309.19108039793775
2018-07-17,295.33039445388204,307.61567322283224
2019-07-29,294.21855824586106,306.31763017787966
2019-07-30,295.15094874405224,306.25413371273294
2020-06-21,293.55031161951933,308.92931645427416
2020-06-22,293.5985895283239,306.7971636151044
2020-07-07,293.70319989805614,307.6980108594555
2020-07-08,296.8032737882831,308.81847870459353
2020-07-09,296.254075149601,309.4578101720235
2020-07-10,294.6269203436683,309.4382076632106
2020-07-11,294.199753122597,306.65710784547986
2020-07-19,294.7925563491396,306.6328864485307
2020-07-27,295.6382522081868,306.34230126738555
2020-08-10,294.11644219864525,306.61875352063373
2020-08-11,294.94108177205624,307.26832775075496
2020-08-12,293.2586806901054,306.46133970243204
2021-06-08,295.38593240664227,306.33470806343263
2021-08-11,296.1332051918281,306.2585037162519
2021-08-12,296.7032153999255,307.20898728823306
2021-08-13,296.36667278356373,307.82934288760987
2022-08-07,293.42195231670485,307.11727215845735
2022-08-08,295.013721433467,306.2551910234057
---CLASS rural---
2001-06-27,293.1887272391925,308.4985966643664
2001-07-23,294.91760233861095,308.7016097091717
2001-07-24,296.47751205847953,308.7348123407601
2001-08-03,294.2566194209513,307.18216372973285
2001-08-09,293.20849632799843,311.2202325959235
2001-08-10,293.4825372169599,308.8402906503682
2002-07-02,293.2726022695929,308.5054407953713
2002-07-03,293.59627708545514,308.66075642951597
2002-07-04,293.50558999951636,307.1357235332144
2002-07-18,294.32391132638986,308.1517306741486
2002-07-22,295.9565339630029,311.30721858435385
2002-07-23,295.9483909782245,307.83634590718447
2002-07-30,294.6414111058772,306.20868363198286
2002-07-31,294.5224819183333,306.59355530225565
2002-08-01,293.8950789062819,308.7603313413534
2002-08-02,294.0837403606699,309.2078854485247
2002-08-03,293.1727378401306,308.50227539682675
2002-08-13,293.28484576932385,308.41750892185644
2002-08-14,294.0575821035081,309.5460124456105
2002-08-15,296.04225893631025,307.8366453861657
2003-08-14,294.17608563121854,306.27404033894345
2003-08-15,294.8122536817311,306.28375493892565
2003-08-21,293.6524008313786,307.0788105557505
2005-06-26,294.3237285110875,309.1243742216853
2005-07-21,293.238791315477,306.8748024084747
2005-08-10,293.2703152283366,308.7195069820934
2005-08-11,294.7369226379323,307.29252454645786
2006-06-19,294.4047027719863,306.4260193566548
2006-07-15,293.46499321840986,309.10302738879994
2006-07-16,294.0062171899578,309.3067214188947
2006-07-17,295.3258775803616,309.2376708028977
2006-07-18,294.9909528310891,306.8892197489381
2006-07-29,293.743229925821,306.11297595588445
2006-08-02,295.93357169940145,307.8716041974662
2007-06-27,295.1718331836465,307.7701427413999
2007-07-26,293.5008723828344,309.4360530596847
2007-07-27,295.6519009129705,309.34988862127614
2007-07-28,293.28052814670764,306.40062441790735
2008-07-09,294.1527060499829,306.4635767800311
2008-07-13,293.39282020651115,306.82594355873715
2009-08-18,293.37620686776756,306.6291949197704
2010-07-06,293.12248439423354,311.7886822067355
2010-07-09,294.81518071674583,308.1505008506907
2010-08-04,295.6318301336527,307.0020651802218
2010-09-01,293.93804405939994,307.15633687037996
2010-09-02,294.16375027024407,307.041585904546
2010-09-03,293.9924959645169,306.3034040195582
2011-07-03,296.6907005767695,309.59522429428944
2011-07-04,296.16110839006114,308.437978529751
2011-07-05,293.35598191643163,306.5270863564852
2011-07-12,294.78249581408727,306.36425726009264
2011-07-18,293.672225778258,306.2438711217346
2011-07-22,295.7742970895929,308.38911506045235
2011-07-23,294.6463874534666,306.19354279588373
2012-06-20,294.1430015570076,307.4302946831341
2012-06-21,295.85595003554687,307.8158851009377
2012-07-15,293.276245659223,308.26158977788015
2012-07-16,293.65297258610155,307.8658315433433
2012-07-17,293.82277502152647,308.00430360767115
2013-08-20,293.2139809457352,306.36642443207523
2014-07-01,294.26392892968386,306.58971959654457
2014-07-02,294.01249118361085,306.58833474207097
2015-08-17,293.23103762741823,308.32273035900914
2015-08-18,293.9602878161101,308.77082691612765
2015-08-19,294.0167877737577,307.93485267831846
2015-08-20,294.35746940474655,306.14791713119376
2016-07-14,294.39099424570094,307.4833213020206
2016-07-22,293.3277876021188,307.08679979928075
2016-08-12,293.21597570764055,307.97266012590234
2016-08-13,294.1714612545016,306.7290395207209
2018-07-01,294.00955202818113,309.65211849552435
2018-07-02,296.09654271910597,312.38631699521477
2018-07-03,296.74645117781444,311.4660388703479
2018-07-04,295.59758394141926,310.29631389850175
2018-07-05,293.29352622045377,309.4501223475776
2018-07-16,294.2483245871163,309.13909507631536
2018-07-17,294.2247786748198,307.6535305712101
2018-08-05,293.33455116010526,307.1672313017572
2018-08-06,294.101574272527,307.6022895129016
2018-08-28,293.78396638364575,306.2745355807292
2019-07-29,294.2243870164863,306.56979130282105
2019-07-30,295.0607418046846,306.2563825919228
2020-06-22,293.6086904844628,306.35152688974387
2020-07-08,295.43077317662124,308.39841889970165
2020-07-09,294.99951186320453,308.58524025505085
2020-07-10,294.3565072250168,308.5730935412843
2020-07-11,294.71607489986957,306.2547706528033
2020-07-19,294.29386511227347,307.0439664954257
2020-07-20,293.880824280539,306.26520348465414
2020-08-11,293.8510974442981,307.18345300391854
2021-06-07,294.7298077294972,306.87349336248695
2021-06-08,295.3522242239075,306.39985841151025
2021-06-28,295.89201516799994,306.4249937184528
2021-08-10,294.73756062274236,306.8658644807487
2021-08-11,296.9694907264511,306.8662367419235
2021-08-12,296.86344124074407,307.9663106870104
2021-08-13,296.01339324709954,308.41864585452316
2022-08-07,293.2284123279464,306.45651943048597
---TEB+CLASS urban---
2001-06-14,293.3777305091214,306.83148607805134
2001-06-15,295.28596048923885,307.57749240640976
2001-06-16,295.4360040285858,306.9102093558945
2001-06-19,294.17035346876645,306.9314895007569
2001-06-20,293.90786790113043,307.251866400871
2001-06-26,294.83394024161055,308.3112845074939
2001-06-27,295.9984360068291,309.39389357447476
2001-06-28,294.99276198015053,308.13855164050864
2001-07-22,295.2165786620869,307.16081788484837
2001-07-23,297.3554516315604,308.91979670071356
2001-07-24,298.4385554238445,308.5658216968783
2001-08-02,295.6584076682819,308.3139656530069
2001-08-03,296.82736177012055,307.66883395425145
2001-08-05,293.68485999890424,306.45299351160725
2001-08-06,295.0167288008829,307.85398059064016
2001-08-07,296.3017465411175,309.13706309564463
2001-08-08,296.5539730388607,310.35121164335953
2001-08-09,296.367166727643,311.5095166313721
2001-08-10,295.66421340577773,309.1243696196216
2002-06-30,294.54725279298214,307.3405142958178
2002-07-01,296.58027469878215,308.8647352181649
2002-07-02,296.91569355192075,309.40014758772895
2002-07-03,296.95656997428927,309.48171601943665
2002-07-04,296.7861154482063,307.84834724248606
2002-07-08,294.48304909543515,307.3873765367368
2002-07-09,294.4375056318972,307.02646086504376
2002-07-16,293.92112118894283,307.2432385865436
2002-07-17,295.3357863178603,308.3912117084717
2002-07-18,296.40415175349733,309.10436879605027
2002-07-19,294.39550636438935,307.1832908423347
2002-07-20,293.31514738829003,307.31998969834217
2002-07-21,295.8432288065451,309.6185160613599
2002-07-22,298.3005549960913,312.2366782723975
2002-07-23,297.7252731326863,309.1040929383323
2002-07-30,295.3737914734769,307.3108129466066
2002-07-31,296.29860864359176,307.48019181208224
2002-08-01,296.9805844567926,309.25074528239463
2002-08-02,297.880246914954,309.9062768250778
2002-08-03,297.40163669994695,309.42242938317884
2002-08-04,296.2294814239283,307.7867360950537
2002-08-05,294.70992934561724,306.67048304019846
2002-08-12,294.38087416383803,307.0785044741326
2002-08-13,295.8640558335378,308.7265736000759
2002-08-14,296.2776686956681,309.84634587970913
2002-08-15,297.3514808657153,308.13445783660575
2002-08-16,297.2636656493846,306.36543729528614
2003-06-26,294.67476463422497,307.371971513742
2003-07-07,293.64017088991454,306.42932418598764
2003-07-08,294.5092100948775,306.56194708975966
2003-08-14,295.8683366086417,307.29049396576715
2003-08-15,296.6992437343432,307.3643086931859
2003-08-20,294.29867491296636,307.29958487470316
2003-08-21,296.1803431901905,308.08239263100467
2004-07-22,294.20145675838546,307.252591518449
2005-06-25,295.29168503422295,308.824036462791
2005-06-26,296.90690986149167,309.25800442113314
2005-06-27,295.2026247732904,308.29719654310134
2005-06-28,295.6809555515766,307.83354276306807
2005-07-11,293.85901950502034,307.3521373800698
2005-07-17,293.8351709302058,307.3738977764235
2005-07-18,295.46600448749416,307.2329639704685
2005-07-19,296.05659519270284,306.6906210965958
2005-07-20,296.4339760416962,307.3699818388955
2005-07-21,296.8745472507582,308.0946640184849
2005-07-22,295.3534206320026,306.335051716611
2005-08-09,294.7703364699632,309.1774626736967
2005-08-10,296.22191524464495,309.3575446674189
2005-08-11,297.13269566991744,308.1307505368681
2005-08-12,296.65845142289345,306.51455526717217
2006-05-31,294.04809131784765,306.62531712479284
2006-06-18,293.79738651455204,308.24175908075983
2006-06-19,294.8686577288206,307.5217968149584
2006-07-10,293.4562191254174,306.2623900661499
2006-07-13,294.9665971443443,307.28595391154056
2006-07-14,295.9487099757533,309.0674832448228
2006-07-15,297.1818255241994,310.2056222699746
2006-07-16,297.9057929562029,310.2863811356792
2006-07-17,298.4239829778902,310.3578735572135
2006-07-18,298.21237380150274,308.61083372547114
2006-07-28,296.52267895861814,306.60294260511387
2006-07-29,295.2842683732903,307.21018995829075
2006-08-01,295.35916433359796,307.4956260979917
2006-08-02,297.80362546682045,308.5884310039892
2007-06-27,296.6113268785518,308.09448403292674
2007-07-25,293.53494303067157,306.2714556529314
2007-07-26,296.0143274420827,309.8666296246356
