date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2002-06-30;S; 18.25,14.058870917353033,4.191129082646967;C; 15.440925809256953,14.643766603479492,0.7971592057774615;T; 18.800311898411678,14.809122864223525,3.991189034188153;
2002-07-01;S; 22.15,20.84458520306731,1.3054147969326877;C; 20.194031215282223,19.766857805861548,0.42717340942067494;T; 22.613289360728402,20.004621784640506,2.608667576087896;
2002-07-02;S; 24.5,24.2017280602102,0.2982719397897995;C; 21.248148609840257,19.87036086952145,1.3777877403188086;T; 23.746993128673296,20.16844478905591,3.5785483396173845;
2002-07-03;S; 24.5,23.78744234592449,0.7125576540755105;C; 21.97389609885039,20.52108075413821,1.452815344712178;T; 24.018740197150066,20.802198165346624,3.216542031803442;
2002-07-04;S; 21.3,21.95887091735301,-0.6588709173530098;C; 20.07933778246064,20.02881014601678,0.05052763644386005;T; 22.884932789999766,20.314170380179178,2.5707624098205883;
2002-07-08;S; 20.15,17.11601377449591,3.033986225504087;C; 17.420974607439575,16.107208496937687,1.3137661105018879;T; 21.01945049621503,16.44220984172182,4.57724065449321;
2002-07-09;S; 18.05,18.644585203067322,-0.5945852030673215;C; 17.356580701017833,16.560513424801854,0.7960672762159788;T; 19.848708356703753,16.775409868662052,3.0732984880417007;
2002-07-16;S; 15.399999999999999,14.216013774495877,1.1839862255041211;C; 17.76369409633429,18.935564940502843,-1.1718708441685521;T; 20.631495211116487,19.09802997389437,1.5334652372221171;
2002-07-17;S; 15.7,11.987442345924478,3.712557654075521;C; 15.138670700137709,13.809525618578562,1.3291450815591475;T; 18.678411093167085,14.29962028021589,4.378790812951195;
2002-07-18;S; 16.950000000000003,16.916013774495866,0.03398622550413677;C; 24.00179202245465,23.101835998818387,0.899956023636264;T; 24.82372501818992,23.275662973241083,1.5480620449488356;
2002-07-19;S; 13.600000000000001,9.90172806021019,3.6982719397898123;C; 23.300021739975193,21.267196627643898,2.0328251123312953;T; 23.512591048630213,21.405903127310182,2.106687921320031;
2002-07-20;S; 15.2,12.673156631638733,2.5268433683612663;C; 17.7418183477526,17.33017342439615,0.4116449233564481;T; 19.186058315888943,17.54264138120476,1.6434169346841827;
2002-07-21;S; 16.15,11.073156631638767,5.0768433683612315;C; 19.421164775198633,17.70863792728261,1.712526847916024;T; 20.418164774951265,18.014228499749095,2.4039362752021702;
2002-07-22;S; 21.9,20.158870917353056,1.7411290826469425;C; 18.48603072838415,17.371763185159864,1.1142675432242868;T; 21.20522244181251,17.717152818005957,3.4880696238065525;
2002-07-23;S; 18.0,18.573156631638767,-0.5731566316387671;C; 28.510783721387327,28.534249508665596,-0.02346578727826909;T; 29.807301281240427,28.62804630925649,1.1792549719839371;
2002-07-30;S; 21.799999999999997,20.84458520306731,0.9554147969326863;C; 20.382461880577296,20.906423433250495,-0.5239615526731995;T; 21.010599705950597,20.95410650068908,0.05649320526151769;
2002-07-31;S; 21.1,18.858870917353045,2.2411290826469568;C; 22.165937541654273,22.713536144197803,-0.5475986025435304;T; 23.131676542224795,22.806495672646406,0.3251808695783893;
2002-08-01;S; 20.9,19.28744234592449,1.612557654075509;C; 20.335671645647267,20.41581841986084,-0.08014677421357419;T; 22.422336553076377,20.687665162379687,1.7346713906966897;
2002-08-02;S; 20.799999999999997,19.330299488781577,1.46970051121842;C; 21.48899165620196,20.802382508921028,0.686609147280933;T; 24.22294870939919,21.084121115251776,3.138827594147415;
2002-08-03;S; 18.7,16.9302994887816,1.7697005112183994;C; 22.338827006939937,21.48767471921724,0.851152287722698;T; 25.45028344105475,21.73843572184842,3.7118477192063324;
2002-08-04;S; 20.5,15.687442345924467,4.812557654075533;C; 20.796010603200216,20.2872693924445,0.5087412107557157;T; 23.892701955904727,20.522021717900827,3.3706802380038994;
2002-08-05;S; 18.950000000000003,18.801728060210166,0.14827193978983644;C; 18.378778310343932,16.762483022700962,1.61629528764297;T; 22.160144387858622,17.32172190187663,4.838422485981994;
2002-08-12;S; 20.9,17.51601377449589,3.3839862255041098;C; 17.03767948807291,16.362566743299794,0.6751127447731164;T; 19.181898013735633,16.593998787373323,2.5878992263623104;
2002-08-13;S; 23.4,19.8160137744959,3.5839862255040984;C; 21.52160347013995,21.008584481355285,0.5130189887846655;T; 22.94877546612622,21.17003233012798,1.7787431359982406;
2002-08-14;S; 22.049999999999997,18.78744234592449,3.2625576540755077;C; 19.232665736582703,18.13647854735683,1.0961871892258728;T; 21.48095554150939,18.406458850040053,3.074496691469335;
2002-08-15;S; 23.6,20.658870917353056,2.9411290826469454;C; 22.168529245379716,22.58278483456644,-0.4142555891867232;T; 24.29874883446047,22.795067069492518,1.5036817649679506;
2002-08-16;S; 22.6,20.601728060210178,1.9982719397898236;C; 22.06459942391058,23.298065799065228,-1.2334663751546486;T; 23.666866408443582,23.382494551252194,0.28437185719138824;
2003-06-26;S; 22.299999999999997,20.95887091735301,1.3411290826469866;C; 16.380621073833026,16.389259215921413,-0.008638142088386758;T; 20.358329146491485,16.615196991411892,3.743132155079593;
2003-07-07;S; 18.1,14.40172806021019,3.6982719397898123;C; 18.032049498673643,18.27247128984834,-0.24042179117469686;T; 19.56625197287616,18.35059004415257,1.2156619287235912;
2003-07-08;S; 20.15,18.773156631638756,1.3768433683612429;C; 16.70718772747847,15.264311902345753,1.4428758251327167;T; 19.93684093082817,15.511452558185624,4.425388372642544;
2003-08-14;S; 20.549999999999997,18.416013774495866,2.133986225504131;C; 20.50318592289858,20.871277866624723,-0.3680919437261423;T; 21.879045188121268,20.938005078195886,0.9410401099253818;
2003-08-15;S; 19.65,17.501728060210155,2.1482719397898435;C; 20.346332198995526,20.64857260226671,-0.30224040327118473;T; 22.583723599864868,20.71530195214325,1.8684216477216182;
2003-08-20;S; 20.4,18.687442345924467,1.7125576540755318;C; 15.41375078724542,14.725005874768499,0.6887449124769205;T; 19.390538176836174,14.893221644398523,4.497316532437651;
2003-08-21;S; 19.950000000000003,16.3160137744959,3.6339862255041027;C; 20.152149308614412,19.822835284762505,0.3293140238519072;T; 21.56225883012388,20.067522466136495,1.4947363639873856;
2004-07-22;S; 21.35,18.26601377449589,3.0839862255041126;C; 17.697122908595304,17.127755092577843,0.5693678160174613;T; 20.348616270602463,17.277526043484272,3.071090227118191;
2005-06-25;S; 23.299999999999997,21.244585203067288,2.055414796932709;C; 14.245265829983737,14.75090791205065,-0.5056420820669132;T; 17.54005782328437,14.929946133887256,2.6101116893971152;
2005-06-26;S; 19.9,16.8160137744959,3.0839862255040984;C; 23.781732348324965,24.946686242403302,-1.1649538940783373;T; 26.397644978999836,25.12768702297666,1.2699579560231768;
2005-06-27;S; 18.65,16.101728060210178,2.548271939789821;C; 19.59383491340469,19.708791781306672,-0.11495686790198079;T; 22.420951248589063,19.82689269534211,2.5940585532469527;
2005-06-28;S; 22.65,20.716013774495877,1.9339862255041211;C; 16.736039861799384,16.756368553388654,-0.02032869158927042;T; 20.735288534323274,17.277836021852522,3.457452512470752;
2005-07-11;S; 22.05,18.48268044116253,3.5673195588374718;C; 18.167454099126417,17.453403413350657,0.71405068577576;T; 19.760787192361988,17.77463986851444,1.9861473238475469;
2005-07-17;S; 23.2,21.449347107829226,1.7506528921707734;C; 13.397963667268243,13.859045924767486,-0.4610822574992426;T; 18.465500115486577,14.602826753761121,3.862673361725456;
2005-07-18;S; 24.0,22.466013774495877,1.5339862255041226;C; 16.659016826143272,16.894439553261407,-0.2354227271181344;T; 21.58969769993837,17.268812994437724,4.320884705500646;
2005-07-19;S; 23.25,21.482680441162586,1.7673195588374142;C; 20.981744090029622,19.68722915323724,1.2945149367923818;T; 22.903390702221884,20.02926179432353,2.8741289078983527;
2005-07-20;S; 19.45,17.98268044116253,1.4673195588374703;C; 21.166308051999692,19.626730748687237,1.5395773033124556;T; 22.18177731519313,19.771456263432867,2.4103210517602633;
2005-07-21;S; 19.6,15.5660137744959,4.033986225504101;C; 20.20803337670145,19.857163920475386,0.35086945622606436;T; 23.95057161072691,20.024243706032166,3.9263279046947446;
2005-07-22;S; 18.85,16.399347107829215,2.450652892170787;C; 20.08187339960523,20.703756928544237,-0.6218835289390086;T; 23.7431140386837,20.799335926215804,2.9437781124678963;
2005-08-09;S; 20.85,17.673156631638733,3.1768433683612685;C; 18.202458839409246,15.75681860352779,2.4456402358814557;T; 20.809114502648924,16.177671491883075,4.6314430107658495;
2005-08-10;S; 20.5,19.916013774495866,0.5839862255041339;C; 18.629261705212514,17.1884874812269,1.4407742239856134;T; 21.440603985084124,17.440442622677892,4.0001613624062315;
2005-08-11;S; 19.85,18.387442345924455,1.462557654075546;C; 20.639455755211543,21.46763148537906,-0.8281757301675157;T; 23.190177056392486,21.70346584480467,1.4867112115878172;
2005-08-12;S; 18.1,15.130299488781588,2.969700511218413;C; 24.367079256562818,23.488020253842876,0.8790590027199414;T; 25.68594582231418,23.614248296423682,2.0716975258904995;
2006-05-31;S; 15.95,15.95887091735301,-0.008870917353011265;C; 18.368907690380922,18.559391830305515,-0.19048413992459245;T; 20.62716274973758,18.85830321411828,1.768859535619299;
2006-06-18;S; 19.6,19.101728060210178,0.49827193978982365;C; 15.20517383848403,15.585476457395998,-0.38030261891196915;T; 18.271978864291725,15.910536793533083,2.361442070758642;
2006-06-19;S; 19.15,20.673156631638733,-1.5231566316387344;C; 19.40680444107187,22.442968076460886,-3.0361636353890162;T; 22.32728537837619,22.62376735539641,-0.29648197702022117;
2006-07-10;S; 18.950000000000003,16.90172806021019,2.0482719397898137;C; 17.827359522557288,17.378306812259552,0.4490527102977353;T; 20.469689753346813,17.613156362449843,2.8565333908969706;
2006-07-13;S; 18.55,17.216013774495877,1.3339862255041233;C; 20.026261664734648,19.427142783341537,0.5991188813931103;T; 21.564581230302167,19.587374599101565,1.9772066312006018;
2006-07-14;S; 21.200000000000003,19.84458520306731,1.355414796932692;C; 18.090346141266366,18.078697986685313,0.01164815458105295;T; 21.310040831308072,18.155884352452176,3.154156478855896;
2006-07-15;S; 21.05,18.449347107829226,2.6006528921707748;C; 21.00010784314469,20.40097497781204,0.5991328653326491;T; 22.921673280543757,20.536286390358498,2.3853868901852593;
2006-07-16;S; 20.55,18.573156631638767,1.9768433683612336;C; 21.724671489289506,20.35155331411528,1.373118175174227;T; 25.118053337105266,20.69596072656566,4.4220926105396074;
2006-07-17;S; 20.75,21.087442345924444,-0.337442345924444;C; 20.53602933425657,20.268591553566296,0.2674377806902726;T; 23.6676060677417,20.438658078839183,3.2289479889025188;
2006-07-18;S; 19.15,18.058870917353033,1.0911290826469653;C; 23.422504597894317,23.23947825979735,0.18302633809696545;T; 25.79557765336341,23.50452720939211,2.291050443971301;
2006-07-28;S; 21.5,20.144585203067322,1.3554147969326777;C; 22.65235858574846,21.89041985763083,0.7619387281176273;T; 23.417076423741378,21.98278900194788,1.434287421793499;
2006-07-29;S; 19.85,20.187442345924467,-0.3374423459244653;C; 22.683331375630587,21.496163218124877,1.1871681575057096;T; 22.856577425129785,21.516217945645508,1.3403594794842775;
2006-08-01;S; 22.3,21.182680441162574,1.1173195588374263;C; 15.032819051298873,14.479862854510202,0.5529561967886707;T; 18.43109808544756,14.755661769476148,3.6754363159714103;
2006-08-02;S; 19.85,21.916013774495866,-2.0660137744958647;C; 22.234402343085037,21.682201280449988,0.5522010626350493;T; 23.319425478017024,21.79462703660505,1.5247984414119742;
2007-06-27;S; 20.9,21.51601377449589,-0.6160137744958902;C; 22.0596671481876,22.168932347012174,-0.10926519882457342;T; 23.273900409972384,22.33726300772156,0.9366374022508239;
2007-07-25;S; 18.1,15.858870917353045,2.2411290826469568;C; 17.950156859514948,17.87415942907751,0.07599743043743956;T; 19.31546884355538,17.942153872476695,1.3733149710786847;
2007-07-26;S; 20.85,15.916013774495866,4.933986225504135;C; 17.578868109477014,16.26504501913263,1.3138230903443855;T; 19.62054665408749,16.5868009398435,3.0337457142439916;
2007-07-27;S; 21.200000000000003,18.26601377449589,2.933986225504114;C; 22.21555048143523,21.53746686759422,0.6780836138410109;T; 23.64061584011455,21.725930987981826,1.9146848521327229;
2007-07-28;S; 20.0,18.03268044116254,1.9673195588374597;C; 26.461258936739057,26.34802018608974,0.11323875064931599;T; 27.387243904052013,26.56630426648894,0.8209396375630718;
2007-08-02;S; 22.6,19.932680441162574,2.667319558837427;C; 14.671646274202772,13.312976444046456,1.358669830156316;T; 18.359048912758965,13.934057317633119,4.424991595125846;
2007-08-03;S; 22.15,20.487442345924478,1.6625576540755205;C; 17.4238042518071,17.096316309776114,0.3274879420309844;T; 20.824868476501194,17.62536768793308,3.199500788568116;
2008-07-08;S; 19.7,14.987442345924478,4.712557654075521;C; 16.055944260021818,14.46499968650187,1.5909445735199483;T; 18.590536013494273,14.845044724875663,3.7454912886186094;
2008-07-09;S; 20.4,20.944585203067334,-0.544585203067335;C; 19.94574231364078,19.009498910554555,0.9362434030862232;T; 22.180374551092143,19.24009808028387,2.9402764708082714;
2008-07-13;S; 19.4,19.330299488781577,0.06970051121842147;C; 18.457184022340755,17.329732665648123,1.1274513566926316;T; 20.924532546380703,17.662485291843268,3.2620472545374355;
2008-07-17;S; 17.35,14.358870917353045,2.9911290826469568;C; 16.27654782097386,15.631297219683574,0.6452506012902859;T; 18.594352041293803,15.842185779480644,2.7521662618131586;
2008-07-18;S; 17.35,16.45887091735301,0.8911290826469909;C; 17.64901030990518,16.76986864425089,0.8791416656542879;T; 21.596576195731757,17.108279080161765,4.488297115569992;
2008-07-19;S; 18.9,17.90172806021019,0.9982719397898094;C; 19.476018494291793,19.248064926495715,0.227953567796078;T; 22.441454375930846,19.662629149365557,2.7788252265652886;
2008-07-30;S; 16.25,13.34458520306731,2.905414796932689;C; 16.91451963580272,16.70827422572279,0.20624541007993002;T; 20.44937358976864,17.01217721169337,3.437196378075271;
