date; S; urban, rural, UHI; C; urban, rural, UHI; T; urban, rural, UHI;

---tasmin---
2022-08-07;S; 16.85,17.10172806021019,-0.251728060210187;C; 20.18953865311339,20.118148737020682,0.07138991609270917;T; 22.099188398856146,20.26268506170394,1.8365033371522053;
2022-08-08;S; 14.690000000000001,14.424585203067329,0.26541479693267256;C; 21.78130776987556,21.882426585630846,-0.10111881575528514;T; 23.2507363922696,21.958905942349386,1.2918304499202158;
---tasmax---
2001-06-14;S; 32.71,32.83887091735303,-0.12887091735302647;C; 32.91525952864812,33.11028770312677,-0.19502817447865084;T; 33.59907241445987,33.17562535693066,0.4234470575292093;
2001-06-15;S; 31.69,31.6902994887816,-0.00029948878160013237;C; 33.7389361442832,33.815407288892786,-0.07647114460958448;T; 34.345078742818316,33.86857017997525,0.4765085628430654;
2001-06-16;S; 28.8,28.604585203067316,0.1954147969326847;C; 33.1032791285098,33.205848131574136,-0.10256900306433892;T; 33.677795692303036,33.255639262715235,0.4221564295878011;
2001-06-19;S; 28.490000000000002,27.747442345924473,0.7425576540755294;C; 33.08478357060657,32.9212652652618,0.1635183053447662;T; 33.69907583716545,32.97075144713708,0.7283243900283694;
2001-06-20;S; 25.54,24.747442345924462,0.7925576540755372;C; 33.330908571527914,33.48886456871982,-0.15795599719190534;T; 34.01945273727958,33.55260928217098,0.46684345510860226;
2001-06-26;S; 29.120000000000005,28.79029948878159,0.3297005112184159;C; 32.777013300648136,34.284107603414114,-1.507094302765978;T; 35.07887084390245,34.46019035387949,0.6186804900229603;
2001-06-27;S; 26.73,26.550299488781594,0.1797005112184067;C; 34.41596861155919,35.38833307344075,-0.9723644618815612;T; 36.161479910883294,35.507765826969546,0.6537140839137479;
2001-06-28;S; 25.03,25.347442345924456,-0.3174423459244551;C; 33.76619860528971,33.8126256795413,-0.04642707425158932;T; 34.906137976917194,33.910280055692766,0.9958579212244274;
2001-07-22;S; 31.62,30.824585203067308,0.7954147969326932;C; 33.16924576070509,33.339425403415234,-0.17017964271014563;T; 33.92840422125687,33.359601170785396,0.5688030504714732;
2001-07-23;S; 31.08,30.313156631638734,0.7668433683612648;C; 34.86301822983074,35.59134611824595,-0.7283278884152082;T; 35.68738303712208,35.65515741072136,0.032225626400723684;
2001-07-24;S; 27.610000000000003,26.869823298305406,0.7401767016945975;C; 34.264171728675436,35.62454874983437,-1.360377021158932;T; 35.33340803328684,35.67486359941137,-0.3414555661245302;
2001-08-02;S; 30.87,30.36172806021017,0.5082719397898323;C; 33.83243354683581,34.725490230344924,-0.8930566835091156;T; 35.08155198941544,34.726304003878106,0.35524798553733206;
2001-08-03;S; 30.190000000000005,29.75315663163875,0.4368433683612558;C; 33.454154047053144,34.0719001388072,-0.6177460917540571;T; 34.43642029065999,34.07142190587025,0.364998384789736;
2001-08-05;S; 32.290000000000006,31.927442345924476,0.3625576540755304;C; 32.791111504512415,32.694949315296256,0.09616218921615882;T; 33.22057984801584,32.700387103353556,0.5201927446622818;
2001-08-06;S; 33.61,32.68744234592447,0.9225576540755327;C; 34.262306308326956,34.09653915164629,0.16576715668066555;T; 34.62156692704875,34.10129757941323,0.5202693476355194;
2001-08-07;S; 34.910000000000004,33.63601377449589,1.2739862255041103;C; 35.470250723212864,35.22522889205966,0.24502183115320264;T; 35.90464943205316,35.23742362846784,0.6672258035853247;
2001-08-08;S; 34.129999999999995,33.21029948878161,0.9197005112183874;C; 36.70276061257533,36.404179387024854,0.2985812255504783;T; 37.11879797976809,36.42288140927677,0.6959165704913204;
2001-08-09;S; 31.229999999999997,30.73315663163876,0.49684336836123677;C; 37.80315532355719,38.10996900499782,-0.30681368144063015;T; 38.27710296778064,38.14035464460908,0.1367483231715596;
2001-08-10;S; 28.87,28.21601377449589,0.6539862255041093;C; 35.038978961052386,35.73002705944251,-0.6910480983901266;T; 35.89195595603011,35.7731061522063,0.11884980382380661;
2002-06-30;S; 31.340000000000003,30.944585203067312,0.3954147969326911;C; 33.23965573512036,33.38088694925756,-0.14123121413719986;T; 34.10810063222631,33.47122426554708,0.6368763666792319;
2002-07-01;S; 33.1,32.5845852030673,0.5154147969327028;C; 34.967480470593586,34.908119300879655,0.059361169713930906;T; 35.63232155457346,34.959055540286315,0.6732660142871438;
2002-07-02;S; 33.27,32.86172806021016,0.40827193978984155;C; 35.61340912948573,35.39517720444566,0.21823192504007238;T; 36.16773392413748,35.41735853469628,0.7503753894412029;
2002-07-03;S; 31.180000000000003,30.473156631638734,0.7068433683612696;C; 35.766006068633104,35.550492838590344,0.21551323004275957;T; 36.24930235584518,35.55038531158172,0.6989170442634602;
2002-07-04;S; 28.35,27.064585203067317,1.2854147969326846;C; 34.118776814197865,34.02545994228868,0.09331687190918814;T; 34.61593357889461,34.052348364290495,0.5635852146041174;
2002-07-08;S; 26.339999999999996,26.13887091735303,0.20112908264696472;C; 33.7766602386072,32.77120019153873,1.0054600470684676;T; 34.154962873145294,32.763621874540334,1.39134099860496;
2002-07-09;S; 23.84,23.46172806021018,0.3782719397898191;C; 33.505138743558646,32.504508631238984,1.0006301123196621;T; 33.794047201452315,32.55862990485285,1.235417296599465;
2002-07-16;S; 23.880000000000003,23.08744234592447,0.7925576540755337;C; 33.71111390143069,32.99380788931653,0.7173060121141646;T; 34.01082492295214,32.978888933968065,1.031935988984074;
2002-07-17;S; 24.970000000000002,24.39315663163874,0.5768433683612635;C; 34.76648320375348,34.31180202894033,0.4546811748131532;T; 35.15879804488023,34.32045641468981,0.8383416301904205;
2002-07-18;S; 24.910000000000004,24.216013774495877,0.6939862255041263;C; 35.47995664374637,35.0414670832229,0.43848956052347177;T; 35.87195513245881,35.066760584290535,0.8051945481682736;
2002-07-19;S; 26.540000000000003,26.11887091735304,0.4211290826469636;C; 33.4470852293908,32.80533410642374,0.641751122967058;T; 33.95087717874327,32.7793488985387,1.1715282802045692;
2002-07-20;S; 28.870000000000005,28.356013774495903,0.5139862255041017;C; 33.66384754958953,32.735456145958885,0.9283914036306484;T; 34.087576034750704,32.64373292962401,1.443843105126696;
2002-07-21;S; 29.970000000000002,29.030299488781615,0.9397005112183869;C; 35.84578071304729,35.45637899438857,0.38940171865871775;T; 36.386102397768454,35.404078878299956,0.9820235194684983;
2002-07-22;S; 27.78,26.61887091735304,1.161129082646962;C; 38.442372657943,38.19695499342814,0.24541766451485358;T; 39.004264608806096,38.22316973748582,0.7810948713202777;
2002-07-23;S; 24.430000000000003,23.450299488781596,0.9797005112184074;C; 35.25169013508663,34.72608231625878,0.5256078188278508;T; 35.87167927474085,34.75684390769781,1.1148353670430424;
2002-07-30;S; 30.400000000000002,29.438870917353032,0.9611290826469698;C; 30.571783309570073,33.09842004105718,-2.526636731487109;T; 34.07839928301509,33.34467975560712,0.7337195274079704;
2002-07-31;S; 30.930000000000003,30.167442345924464,0.7625576540755397;C; 31.298100394283995,33.483291711330025,-2.18519131704603;T; 34.247778148490774,33.677525815716024,0.57025233277475;
2002-08-01;S; 30.180000000000003,29.50172806021019,0.6782719397898127;C; 33.894780607309485,35.65006775042771,-1.755287143118224;T; 36.01833161880316,35.79423701367804,0.22409460512511714;
2002-08-02;S; 28.970000000000002,28.221728060210182,0.7482719397898201;C; 35.14901099589487,36.097621857598924,-0.9486108617040543;T; 36.67386316148635,36.17668509680944,0.49717806467690906;
2002-08-03;S; 28.16,27.550299488781608,0.6097005112183922;C; 35.023606572293005,35.39201180590097,-0.36840523360796595;T; 36.19001571958736,35.445282011461295,0.7447337081260628;
2002-08-04;S; 26.29,25.667442345924457,0.6225576540755426;C; 33.774285199438026,33.62034181532169,0.15394338411633868;T; 34.55432243146225,33.65525772100007,0.8990647104621843;
2002-08-05;S; 24.549999999999997,23.5702994887816,0.9797005112183967;C; 32.83115860313309,31.840031276855054,0.9911273262780362;T; 33.438069376607004,31.8198402797403,1.6182290968667026;
2002-08-12;S; 32.839999999999996,32.55315663163873,0.2868433683612679;C; 33.22049547842465,33.654830817076075,-0.4343353386514224;T; 33.84609081054115,33.632964215414816,0.21312659512633303;
2002-08-13;S; 32.78,32.45315663163873,0.32684336836127414;C; 35.03932106369424,35.30724533093075,-0.2679242672365092;T; 35.49415993648444,35.28541675045157,0.20874318603286923;
2002-08-14;S; 32.24,31.77601377449588,0.4639862255041223;C; 36.13225359131077,36.435748854684775,-0.30349526337400334;T; 36.613932216117654,36.4426952601472,0.17123695597045696;
2002-08-15;S; 30.189999999999998,30.104585203067327,0.08541479693267107;C; 34.24615649390242,34.726381795239945,-0.4802253013375264;T; 34.9020441730143,34.78573716040594,0.11630701260836673;
2002-08-16;S; 30.57,30.336013774495896,0.23398622550410408;C; 32.32089140494139,32.816582981235086,-0.4956915762936944;T; 33.133023631694726,32.88853042164319,0.24449321005153735;
